itemId=1, isAvailable=true, title=高等数学教材（第七版）, updateTime=2024-01-15T18:00
itemId=2, isAvailable=true, title=MacBook Air M1 13寸, updateTime=2024-01-14T18:00
itemId=3, isAvailable=true, title=北面羽绒服 黑色L码, updateTime=2024-01-13T18:00
itemId=4, isAvailable=true, title=篮球 斯伯丁正品, updateTime=2024-01-12T18:00
itemId=5, isAvailable=true, title=联想笔记本电脑 ThinkPad, updateTime=2024-01-11T18:00
itemId=6, isAvailable=false, title=羽毛球拍 尤尼克斯, updateTime=2024-01-10T18:00
itemId=7, isAvailable=true, title=编程珠玑（第二版）, updateTime=2025-07-15T14:36:28
itemId=8, isAvailable=false, title=Java核心技术, updateTime=2025-07-15T14:37:14
itemId=9, isAvailable=true, title=算法导论（第三版）, updateTime=2025-07-15T14:36:56
itemId=10, isAvailable=false, title=数据结构与算法分析, updateTime=2025-07-15T14:37:32
itemId=11, isAvailable=true, title=线性代数教材, updateTime=2025-07-15T14:38:52
itemId=12, isAvailable=false, title=自行车, updateTime=2024-01-18T18:00
itemId=13, isAvailable=true, title=Samsung Galaxy S23 Ultra, updateTime=2025-07-15T11:45:38
itemId=14, isAvailable=true, title=联想ThinkPad X1, updateTime=2025-07-15T16:20:32
itemId=15, isAvailable=true, title=OPPO Find X5 Pro, updateTime=2025-07-15T16:50:04
itemId=16, isAvailable=true, title=Microsoft Surface Pro 9, updateTime=2025-07-15T18:06:36
itemId=17, isAvailable=true, title=MacBook Pro 14英寸, updateTime=2025-07-15T11:48:32
itemId=18, isAvailable=true, title=AirPods Max, updateTime=2025-07-15T16:21:18
itemId=19, isAvailable=true, title=Pixel 7 Pro, updateTime=2025-07-15T16:50:17
itemId=20, isAvailable=true, title=LG OLED 55英寸, updateTime=2025-07-15T18:06:48
itemId=21, isAvailable=true, title=Steam Deck, updateTime=2025-07-15T11:49:39
itemId=22, isAvailable=true, title=JBL Charge 5, updateTime=2025-07-15T16:22
itemId=23, isAvailable=false, title=Alienware游戏鼠标, updateTime=2025-07-15T22:06:22
itemId=24, isAvailable=true, title=iPad mini 6, updateTime=2025-07-15T18:07:03
